6-14-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,sf,atl,10.82,sf,atl,4-5,4,,-273.9724376260143,+273.9724376260143
,bos,bal,6.05,bos,bal,9-13,3,,-170.20132500577049,+170.20132500577049
,lad,chc,-2.39,chc,chc,1-2,,1,+118.04247134146517,-118.04247134146517
,chw,nym,-1.61,nym,chw,2-1,1,,+108.94871871914789,-108.94871871914789
,cin,col,-7.0,col,cin,7-2,3,,+186.94686956316372,-186.94686956316372
,tex,cle,7.22,tex,cle,4-5,3,,-191.05626963312278,+191.05626963312278
,det,laa,-9.68,laa,det,3-0,4,,+244.07152398368245,-244.07152398368245
,tb,kc,-13.37,kc,kc,3-6,,5,+357.8992223106187,-357.8992223106187
,pit,mia,0.2,pit,mia,2-3,1,,-100.0,+100.0
,stl,mil,7.52,stl,mil,1-3,3,,-196.81009518475824,+196.81009518475824
,min,oak,-8.07,oak,oak,1-5,,3,+207.83201021941466,-207.83201021941466
,nyy,tor,-5.88,tor,tor,0-7,,2,+167.36584044240396,-167.36584044240396
,wsh,phi,7.27,wsh,wsh,7-2,,3,-192.00306116943005,+192.00306116943005
,sea,sd,11.59,sea,sd,6-14,4,,-296.56158152849446,+296.56158152849446
,,,,,,,,
5-31-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,hou,ari,7.67,hou,hou,8-5,,3,-199.75403269605962,+199.75403269605962
,sf,atl,6.67,sf,sf,4-0,,3,-180.95062607997144,+180.95062607997144
,bos,bal,2.91,bos,bos,6-2,,1,-124.4503646999762,+124.4503646999762
,lad,chc,-7.58,chc,lad,5-0,3,,+197.98221648672077,-197.98221648672077
,chw,nym,-6.66,nym,chw,6-4,3,,+180.7719856943553,-180.7719856943553
,cin,col,-1.06,col,col,4-17,,1,+102.88439378955788,-102.88439378955788
,tex,cle,4.05,tex,tex,7-3,,2,-139.56399353177216,+139.56399353177216
,det,laa,-6.65,laa,laa,9-11,,3,+180.59352265826368,-180.59352265826368
,tb,kc,-11.14,kc,kc,5-10,,4,+283.1067114367939,-283.1067114367939
,pit,mia,7.2,pit,mia,1-3,3,,-190.6788967120987,+190.6788967120987
,stl,mil,5.25,stl,stl,10-3,,2,-157.25208719575372,+157.25208719575372
,min,oak,-5.86,oak,oak,4-7,,2,+167.03530677089304,-167.03530677089304
,nyy,tor,-3.67,tor,tor,1-4,,2,+134.35496033024722,-134.35496033024722
,wsh,phi,4.29,wsh,wsh,5-1,,2,-142.9472051428504,+142.9472051428504
,sd,sea,-7.45,sea,sea,4-16,,3,+195.45171537786663,-195.45171537786663
,,,,,,,,
5-30-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,hou,ari,5.0,hou,hou,8-3,,2,-153.40303944605887,+153.40303944605887
,sf,atl,12.84,sf,atl,3-5,5,,-338.1402256432981,+338.1402256432981
,bos,bal,0.68,bos,bos,7-2,,1,-100.0,+100.0
,lad,chc,-3.67,chc,chc,0-2,,2,+134.35496033024722,-134.35496033024722
,chw,nym,-2.91,nym,nym,0-1,,1,+124.4503646999762,-124.4503646999762
,cin,col,-4.34,col,cin,11-8,2,,+143.66138797387927,-143.66138797387927
,tex,cle,-0.52,cle,tex,9-2,1,,+100.0,-100.0
,det,laa,-4.0,laa,laa,1-5,,2,+138.86837336863385,-138.86837336863385
,tb,kc,-8.21,kc,kc,2-6,,3,+210.74010778794297,-210.74010778794297
,pit,mia,4.88,pit,pit,10-0,,2,-151.58724980942176,+151.58724980942176
,stl,mil,2.46,stl,stl,6-0,,1,-118.88844018259945,+118.88844018259945
,min,oak,-3.68,oak,oak,2-3,,2,+134.48977816276275,-134.48977816276275
,nyy,tor,-1.46,tor,tor,2-4,,1,+107.26728103607756,-107.26728103607756
,wsh,phi,-1.98,phi,wsh,4-3,1,,+113.18769613268044,-113.18769613268044
,sd,sea,-4.56,sea,sea,3-9,,2,+146.84290965988333,-146.84290965988333
,,,,,,,,
5-29-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,sd,ari,-1.21,ari,ari,3-6,,1,+104.51102909604782,-104.51102909604782
,mia,atl,-0.72,atl,mia,7-3,1,,+100.0,-100.0
,bal,cle,-3.01,cle,bal,6-4,2,,+125.71611013562772,-125.71611013562772
,bos,tor,-5.6,tor,bos,5-3,2,,+162.79569923482828,-162.79569923482828
,phi,chc,-8.32,chc,chc,2-7,,3,+213.05537268464846,-213.05537268464846
,chw,kc,-6.76,kc,kc,4-5,,3,+182.56641062609705,-182.56641062609705
,cin,mil,-4.66,mil,mil,4-5,,2,+148.31046020450535,-148.31046020450535
,sf,col,7.02,sf,sf,8-3,,3,-187.31669195053558,+187.31669195053558
,det,oak,1.51,det,oak,2-4,1,,-107.82542668719599,+107.82542668719599
,hou,laa,0.92,hou,hou,8-6,,1,-101.38417948869699,+101.38417948869699
,lad,nym,-0.6,nym,lad,4-2,1,,+100.0,-100.0
,min,sea,-1.2,sea,min,5-4,1,,+104.4019602400335,-104.4019602400335
,nyy,tb,1.38,nyy,nyy,2-1,,1,-106.3790595270587,+106.3790595270587
,pit,tex,-3.87,tex,tex,2-6,,2,+137.07437576341243,-137.07437576341243
,stl,wsh,2.32,stl,wsh,2-10,1,,-117.20155773024334,+117.20155773024334
,,,,,,,,
5-28-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,sd,ari,2.76,sd,ari,7-8,1,,-122.57228048547795,+122.57228048547795
,mia,atl,1.97,mia,atl,2-7,1,,-113.0713846395997,+113.0713846395997
,bal,cle,3.72,bal,cle,4-11,2,,-135.0302556479221,+135.0302556479221
,bos,tor,-2.5,tor,tor,9-10,,1,+119.37413672214716,-119.37413672214716
,phi,chc,-6.1,chc,chc,1-4,,3,+171.04422296566253,-171.04422296566253
,chw,kc,-5.03,kc,kc,7-8,,2,+153.86017465851634,-153.86017465851634
,cin,mil,-11.14,mil,cin,7-6,4,,+283.1067114367939,-283.1067114367939
,sf,col,1.43,sf,sf,10-5,,1,-106.93350610757713,+106.93350610757713
,det,oak,8.31,det,oak,3-12,3,,-212.8437781378356,+212.8437781378356
,hou,laa,-3.87,laa,hou,4-2,2,,+137.07437576341243,-137.07437576341243
,lad,nym,-6.41,nym,lad,9-1,3,,+176.36298861483434,-176.36298861483434
,min,sea,-4.76,sea,min,6-5,2,,+149.7916278672995,-149.7916278672995
,nyy,tb,5.49,nyy,tb,5-9,2,,-161.03352453555607,+161.03352453555607
,pit,tex,6.95,pit,tex,2-5,3,,-186.02556201423587,+186.02556201423587
,stl,wsh,0.0,wsh,stl,9-4,1,,+100.0,-100.0
,,,,,,,,
5-27-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,sd,ari,-0.64,ari,sd,10-3,1,,+100.0,-100.0
,mia,atl,8.1,mia,atl,2-4,3,,-208.4515731030228,+208.4515731030228
,bal,cle,0.2,bal,bal,6-4,,1,-100.0,+100.0
,bos,tor,1.04,bos,tor,5-7,1,,-102.66902146014174,+102.66902146014174
,phi,chc,-0.17,chc,chc,2-6,,1,+100.0,-100.0
,cin,mil,-9.41,mil,mil,5-9,,4,+237.54014071108548,-237.54014071108548
,sf,col,4.45,sf,col,2-5,2,,-145.24412681947214,+145.24412681947214
,det,oak,5.68,det,det,4-1,,2,-164.08895368000017,+164.08895368000017
,hou,laa,-0.94,laa,laa,2-7,,1,+101.59744376432394,-101.59744376432394
,lad,nym,-2.78,nym,nym,5-6,,1,+122.82128102295763,-122.82128102295763
,min,sea,-8.11,sea,min,7-2,3,,+208.65852841529667,-208.65852841529667
,nyy,tb,1.53,nyy,nyy,4-1,,1,-108.0493363572919,+108.0493363572919
,pit,tex,4.6,pit,pit,9-1,,2,-147.42830688441262,+147.42830688441262
,stl,wsh,-6.66,wsh,stl,6-2,3,,+180.7719856943553,-180.7719856943553
,,,,,,,,
5-26-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,pit,-8.45,pit,pit,3-8,,3,+215.82665189198678,-215.82665189198678
,mil,atl,8.58,mil,mil,6-2,,3,-218.63660667276977,+218.63660667276977
,bal,hou,-0.85,hou,hou,2-4,,1,+100.64049454992023,-100.64049454992023
,col,bos,-10.51,bos,col,8-2,4,,+265.4472887077144,-265.4472887077144
,chw,kc,0.26,chw,kc,5-7,1,,-100.0,+100.0
,mia,tb,2.66,mia,mia,9-1,,1,-121.3337243542223,+121.3337243542223
,tor,nyy,-0.65,nyy,tor,3-1,1,,+100.0,-100.0
,stl,wsh,-2.28,wsh,wsh,1-2,,1,+116.72328941645458,-116.72328941645458
,,,,,,,,
5-25-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,pit,-5.43,pit,pit,4-5,,2,+160.08008604348288,-160.08008604348288
,mil,atl,5.97,mil,mil,3-2,,2,-168.86116683157374,+168.86116683157374
,bal,hou,1.3,bal,hou,3-4,1,,-105.49671289825912,+105.49671289825912
,col,bos,-8.25,bos,bos,3-10,,3,+211.57890687733504,-211.57890687733504
,chc,stl,3.81,chc,chc,9-8,,2,-136.2534266590758,+136.2534266590758
,cle,chw,2.08,cle,cle,4-3,,1,-114.35623887449955,+114.35623887449955
,cin,lad,-15.65,lad,lad,1-3,,6,+461.6660602496642,-461.6660602496642
,phi,det,-10.36,det,phi,8-5,4,,+261.43179106834907,-261.43179106834907
,kc,min,17.26,kc,min,5-7,6,,-559.9480037016474,+559.9480037016474
,laa,tex,-2.87,tex,tex,9-15,,1,+123.94714635993864,-123.94714635993864
,mia,tb,-3.06,tb,mia,4-3,2,,+126.35313906533257,-126.35313906533257
,nym,wsh,-3.31,wsh,nym,2-0,2,,+129.58051894726918,-129.58051894726918
,tor,nyy,-5.73,nyy,tor,8-4,2,,+164.90228229014104,-164.90228229014104
,oak,sea,-4.29,sea,sea,3-13,,2,+142.9472051428504,-142.9472051428504
,sd,sf,-18.6,sf,sf,3-4,,7,+665.0748073144933,-665.0748073144933
,,,,,,,,
5-24-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,pit,-2.53,pit,pit,1-12,,1,+119.73950607990727,-119.73950607990727
,mil,atl,2.09,mil,mil,2-1,,1,-114.47363845816305,+114.47363845816305
,bal,hou,6.15,bal,hou,2-3,3,,-171.8912300812401,+171.8912300812401
,col,bos,-5.68,bos,bos,3-8,,2,+164.08895368000017,-164.08895368000017
,chc,stl,-0.74,stl,chc,12-3,1,,+100.0,-100.0
,cle,chw,-4.15,chw,cle,6-2,2,,+140.96471164349586,-140.96471164349586
,cin,lad,-13.38,lad,lad,2-8,,5,+358.28559996487587,-358.28559996487587
,phi,det,-6.95,det,det,1-3,,3,+186.02556201423587,-186.02556201423587
,kc,min,14.55,kc,kc,7-4,,5,-407.36223314547334,+407.36223314547334
,laa,tex,2.89,laa,tex,1-4,1,,-124.1985365937205,+124.1985365937205
,tb,mia,-1.07,mia,tb,4-3,1,,+102.99221269801384,-102.99221269801384
,nym,wsh,2.57,nym,wsh,4-7,1,,-120.22813417314184,+120.22813417314184
,tor,nyy,-1.14,nyy,nyy,0-6,,1,+103.74943226855721,-103.74943226855721
,oak,sea,2.86,oak,sea,5-6,1,,-123.82161511838929,+123.82161511838929
,sd,sf,-16.32,sf,sf,2-8,,6,+499.48808158485144,-499.48808158485144
,,,,,,,,
5-23-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,chc,stl,1.36,chc,stl,3-4,1,,-106.15792418686847,+106.15792418686847
,cle,chw,-1.16,chw,chw,6-7,,1,+103.96658318940214,-103.96658318940214
,cin,lad,-11.68,lad,lad,0-1,,4,+299.342313338638,-299.342313338638
,phi,det,-4.32,det,det,4-5,,2,+143.3753236891805,-143.3753236891805
,kc,min,12.3,kc,kc,10-4,,5,-319.36753163377307,+319.36753163377307
,laa,tex,-0.09,tex,laa,2-0,1,,+100.0,-100.0
,tb,mia,5.73,tb,mia,6-7,2,,-164.90228229014104,+164.90228229014104
,nym,wsh,-2.34,wsh,nym,7-1,1,,+117.44130534364423,-117.44130534364423
,oak,sea,-1.8,sea,oak,5-0,1,,+111.10902608369302,-111.10902608369302
,sd,sf,-13.75,sf,sf,0-1,,5,+372.9554933634579,-372.9554933634579
,,,,,,,,
5-22-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,ari,stl,-3.09,stl,ari,7-2,2,,+126.73669602141757,-126.73669602141757
,atl,phi,-0.8,phi,phi,0-5,,1,+100.11188697548863,-100.11188697548863
,bal,laa,7.3,bal,laa,2-10,3,,-192.57345038411808,+192.57345038411808
