Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won,Bet,To win,Won
2-24-2015,cleveland-cavaliers,detroit-pistons,64.09%,-178,178,-285,238,107,60,$100,$238.0,$0,,,,,,,$100,$238.0,$0
2-24-2015,toronto-raptors,dallas-mavericks,-57.25%,134,-134,160,-188,26,54,$100,$160.0,$0,,,,,,,,,
2-24-2015,golden-state-warriors,washington-wizards,69.44%,-227,227,-285,234,58,7,$100,$234.0,$0,,,,,,,,,
2-24-2015,indiana-pacers,oklahoma-city-thunder,-70.93%,244,-244,268,-333,24,89,$100,$268.0,$0,,,,,,,,,
,,,,,,,,,,$400,$-400,-100.0%,$0,$0,0%,$0,$0,0%,$100,$-100,-100.0%
,,,,,,,,,,,,,,,,,,,,,,,,
2-25-2015,dallas-mavericks,atlanta-hawks,-65.92%,193,-193,351,-454,158,61,$100,$351.0,$0,,,,,,,$100,$351.0,$0
2-25-2015,new-york-knicks,boston-celtics,-69.54%,228,-228,508,-666,80,238,$100,$508.0,$0,,,,,,,$100,$508.0,$0
2-25-2015,brooklyn-nets,new-orleans-pelicans,-61.12%,157,-157,-142,122,99,79,$100,$122.0,$222.0,$100,$122.0,$222.0,$100,$122.0,$222.0,$100,$122.0,$222.0
2-25-2015,charlotte-hornets,chicago-bulls,-66.09%,195,-195,257,-312,62,117,$100,$257.0,$357.0,,,,,,,$100,$257.0,$357.0
2-25-2015,phoenix-suns,denver-nuggets,62.71%,-168,168,-243,202,75,34,$100,$202.0,$0,,,,,,,,,
2-25-2015,los-angeles-clippers,houston-rockets,-54.34%,119,-119,138,-158,19,39,$100,$138.0,$0,,,,,,,,,
2-25-2015,los-angeles-lakers,utah-jazz,-71.69%,253,-253,413,-526,160,73,$100,$413.0,$513.0,,,,,,,$100,$413.0,$513.0
2-25-2015,memphis-grizzlies,sacramento-kings,76.48%,-325,325,-294,241,31,84,$100,$34.013605442176875,$0,$100,$34.013605442176875,$0,,,,,,
2-25-2015,miami-heat,orlando-magic,60.7%,-154,154,-166,143,12,11,,,,,,,,,,,,
2-25-2015,philadelphia-76ers,milwaukee-bucks,-79.92%,398,-398,468,-625,70,27,$100,$468.0,$0,,,,,,,$100,$468.0,$0
2-25-2015,washington-wizards,minnesota-timberwolves,73.28%,-274,274,119,-136,193,210,$100,$119.0,$0,$100,$119.0,$0,$100,$119.0,$0,$100,$119.0,$0
2-25-2015,san-antonio-spurs,portland-trail-blazers,-66.58%,199,-199,121,-140,78,59,$100,$71.42857142857143,$171.42857142857144,$100,$71.42857142857143,$171.42857142857144,,,,$100,$71.42857142857143,$171.42857142857144
,,,,,,,,,,$1100,$163.42857142857156,14.857142857142868%,$400,$-6.571428571428555,-1.642857142857139%,$200,$22.0,11.0%,$800,$463.42857142857156,57.92857142857144%
,,,,,,,,,,,,,,,,,,,,,,,,
2-27-2015,orlando-magic,atlanta-hawks,-85.5%,590,-590,539,-769,51,179,,,,,,,,,,,,
2-27-2015,charlotte-hornets,boston-celtics,50.09%,-100,100,106,-125,6,25,$100,$106.0,$0,$100,$106.0,$0,$100,$106.0,$0,,,
2-27-2015,brooklyn-nets,houston-rockets,-69.84%,232,-232,289,-357,57,125,$100,$289.0,$0,,,,,,,$100,$289.0,$0
2-27-2015,minnesota-timberwolves,chicago-bulls,-77.83%,351,-351,177,-212,174,139,$100,$47.16981132075472,$147.16981132075472,$100,$47.16981132075472,$147.16981132075472,,,,$100,$47.16981132075472,$147.16981132075472
2-27-2015,cleveland-cavaliers,indiana-pacers,63.81%,-176,176,116,-135,92,111,$100,$115.99999999999999,$0,$100,$115.99999999999999,$0,$100,$115.99999999999999,$0,$100,$115.99999999999999,$0
2-27-2015,utah-jazz,denver-nuggets,65.59%,-191,191,-188,162,3,29,$100,$53.19148936170213,$153.19148936170214,$100,$53.19148936170213,$153.19148936170214,,,,,,
2-27-2015,new-york-knicks,detroit-pistons,-73.9%,283,-283,867,-1428,384,945,$100,$867.0,$967.0,,,,,,,$100,$867.0,$967.0
2-27-2015,golden-state-warriors,toronto-raptors,61.68%,-161,161,-128,110,33,51,$100,$78.125,$178.125,$100,$78.125,$178.125,,,,,,
2-27-2015,los-angeles-clippers,memphis-grizzlies,-72.03%,258,-258,168,-200,90,58,$100,$50.0,$0,$100,$50.0,$0,,,,$100,$50.0,$0
2-27-2015,milwaukee-bucks,los-angeles-lakers,70.66%,-241,241,-256,217,15,24,,,,,,,,,,,,
2-27-2015,miami-heat,new-orleans-pelicans,-59.97%,150,-150,-129,110,79,60,$100,$110.00000000000001,$210.0,$100,$110.00000000000001,$210.0,$100,$110.00000000000001,$210.0,$100,$110.00000000000001,$210.0
2-27-2015,oklahoma-city-thunder,portland-trail-blazers,-57.11%,133,-133,202,-243,69,110,$100,$202.0,$0,,,,,,,$100,$202.0,$0
2-27-2015,washington-wizards,philadelphia-76ers,75.59%,-310,310,-344,286,34,24,,,,,,,,,,,,
2-27-2015,san-antonio-spurs,sacramento-kings,66.83%,-201,201,-500,395,99,194,$100,$395.0,$0,,,,,,,$100,$395.0,$0
,,,,,,,,,,$1100,$555.4863006824569,50.498754607496075%,$700,$-11.513699317543114,-1.6448141882204448%,$300,$-90.0,-30.0%,$800,$524.1698113207547,65.52122641509433%
,,,,,,,,,,,,,,,,,,,,,,,,
2-28-2015,atlanta-hawks,miami-heat,74.48%,-292,292,-136,118,156,174,$100,$73.52941176470588,$173.52941176470588,$100,$73.52941176470588,$173.52941176470588,,,,$100,$73.52941176470588,$173.52941176470588
2-28-2015,brooklyn-nets,dallas-mavericks,-69.93%,233,-233,307,-384,74,151,$100,$307.0,$407.0,,,,,,,$100,$307.0,$407.0
2-28-2015,detroit-pistons,washington-wizards,-51.51%,106,-106,167,-196,61,90,$100,$167.0,$0,,,,,,,$100,$167.0,$0
2-28-2015,memphis-grizzlies,minnesota-timberwolves,81.25%,-433,433,-238,199,195,34,$100,$42.016806722689076,$142.01680672268907,$100,$42.016806722689076,$142.01680672268907,,,,$100,$42.016806722689076,$142.01680672268907
2-28-2015,milwaukee-bucks,utah-jazz,59.71%,-148,148,143,-166,91,114,$100,$143.0,$0,$100,$143.0,$0,$100,$143.0,$0,$100,$143.0,$0
2-28-2015,toronto-raptors,new-york-knicks,79.78%,-395,395,-666,501,71,106,$100,$501.0,$601.0,,,,,,,$100,$501.0,$601.0
2-28-2015,san-antonio-spurs,phoenix-suns,-51.04%,104,-104,114,-135,10,31,$100,$113.99999999999999,$214.0,,,,,,,,,
,,,,,,,,,,$700,$837.546218487395,119.64945978391357%,$300,$15.546218487394981,5.182072829131661%,$100,$-100,-100.0%,$600,$723.546218487395,120.59103641456583%
,,,,,,,,,,,,,,,,,,,,,,,,
3-1-2015,golden-state-warriors,boston-celtics,76.84%,-332,332,-416,333,84,1,$100,$333.0,$0,,,,,,,,,
3-1-2015,charlotte-hornets,orlando-magic,58.27%,-140,140,-119,102,21,38,$100,$84.03361344537815,$184.03361344537814,$100,$84.03361344537815,$184.03361344537814,,,,,,
3-1-2015,los-angeles-clippers,chicago-bulls,-56.62%,131,-131,-128,110,59,41,$100,$110.00000000000001,$0,$100,$110.00000000000001,$0,$100,$110.00000000000001,$0,,,
