4-1-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,nsh,la,-3.38,la,nsh,2-1,2,,+130.4969889441629,-130.4969889441629
,min,stl,-6.36,stl,min,3-1,3,,+175.49416170051595,-175.49416170051595
,mtl,nyi,4.31,mtl,mtl,3-1,,2,-143.2324872867734,+143.2324872867734
,wpg,tb,-19.45,tb,wpg,2-1,7,,+746.8391496410655,-746.8391496410655
,tor,van,-19.65,van,van,1-4,,7,+768.1834868285298,-768.1834868285298
,,,,,,,,
3-13-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,min,-1.31,min,ana,2-1,1,,+105.60668676717873,-105.60668676717873
,tor,cgy,-15.13,cgy,cgy,3-6,,6,+434.88830229879386,-434.88830229879386
,edm,cbj,-10.55,cbj,cbj,4-5,,4,+266.5299804806444,-266.5299804806444
,dal,wsh,-0.39,wsh,dal,4-2,1,,+100.0,-100.0
,ott,nyi,-4.26,nyi,ott,2-1,2,,+142.52025613013362,-142.52025613013362
,,,,,,,,
3-12-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,chi,ari,20.59,chi,chi,2-1,,7,-881.5826945112823,+881.5826945112823
,tb,bos,-10.1,bos,bos,2-3,,4,+254.6344249327945,-254.6344249327945
,dal,car,-3.9,car,dal,5-3,2,,+137.48651311160108,-137.48651311160108
,nj,col,-8.42,col,col,1-2,,3,+215.18372020138963,-215.18372020138963
,cbj,det,-12.14,det,cbj,3-1,5,,+314.0497284969721,-314.0497284969721
,edm,pit,-26.89,pit,pit,4-6,,9,+3592.292170421024,-3592.292170421024
,wpg,fla,2.57,wpg,fla,2-4,1,,-120.22813417314184,+120.22813417314184
,la,van,-3.33,van,la,4-0,2,,+129.84178968097194,-129.84178968097194
,ott,mtl,-3.75,mtl,ott,5-2,2,,+135.43688438522997,-135.43688438522997
,nsh,sj,2.53,nsh,sj,0-2,1,,-119.73950607990727,+119.73950607990727
,phi,stl,-19.5,stl,stl,0-1,,7,+752.0934146854627,-752.0934146854627
,,,,,,,,
3-11-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,cgy,7.66,ana,cgy,3-6,3,,-199.55635088063482,+199.55635088063482
,buf,tor,-12.86,tor,tor,3-4,,5,+338.8610350927009,-338.8610350927009
,nyr,wsh,3.29,nyr,nyr,3-1,,2,-129.31970880247286,+129.31970880247286
,,,,,,,,
3-10-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,bos,ott,-8.92,ott,bos,3-1,3,,+226.17409968968624,-226.17409968968624
,cbj,car,-10.48,car,cbj,4-3,4,,+264.63857724489617,-264.63857724489617
,la,col,-1.72,col,la,5-2,1,,+110.19522863635669,-110.19522863635669
,dal,phi,-7.53,phi,dal,2-1,3,,+197.00494711240242,-197.00494711240242
,nj,min,-11.18,min,min,2-6,,4,+284.273256934398,-284.273256934398
,tb,mtl,1.96,tb,tb,1-0,,1,-112.95517137650673,+112.95517137650673
,nyr,nyi,1.71,nyr,nyr,2-1,,1,-110.08143456675255,+110.08143456675255
,wpg,stl,-16.14,stl,stl,4-5,,6,+488.9319188885155,-488.9319188885155
,,,,,,,,
3-9-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ana,van,10.13,ana,van,1-2,4,,-255.40840943196977,+255.40840943196977
,nsh,ari,18.21,nsh,nsh,2-1,,7,-631.8013869352848,+631.8013869352848
,edm,det,-30.78,det,det,2-5,,10,+3746.1538461538544,-3746.1538461538544
,nyi,tor,10.65,nyi,nyi,4-3,,4,-269.25896336244466,+269.25896336244466
,pit,sj,6.65,pit,sj,1-2,3,,-180.59352265826368,+180.59352265826368
,,,,,,,,
3-8-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
