,min,utah,-70.96851734320988,utah,min,5,,106-104
,,,,,,,,
3-22-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,sa,atl,-59.967918261728386,atl,sa,2,,114-95
,det,bos,-64.08519135802469,bos,det,3,,105-97
,cha,min,60.645668009876545,cha,cha,,3,109-98
,cle,mil,55.98692771358025,cle,cle,,2,108-90
,dal,phx,52.67132152098766,dal,phx,1,,92-98
,den,orl,-50.4416263111111,orl,den,1,,119-100
,no,lac,-60.29921333333334,lac,lac,,3,100-107
,phi,lal,-54.517577224691365,lal,lal,,1,87-101
,mia,okc,-63.67816489876543,okc,okc,,3,75-93
,ny,tor,-73.2085440888889,tor,tor,,5,89-106
,wsh,sac,58.654084454320994,wsh,sac,2,,86-109
,,,,,,,,
3-21-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,bkn,ind,-55.93695263209876,ind,bkn,2,,123-111
,chi,det,60.936053046913585,chi,det,3,,91-107
,utah,gs,-72.25337386666666,gs,gs,,5,91-106
,phx,hou,-63.01692617283951,hou,phx,3,,117-102
,por,mem,-59.520859466666664,mem,mem,,2,86-97
,,,,,,,,
3-20-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,okc,52.76361457777778,atl,okc,1,,115-123
,bos,sa,-65.46980835555556,sa,sa,,4,89-101
,mil,bkn,52.021100800000006,mil,bkn,1,,127-129
,cha,sac,58.11673763950616,cha,sac,2,,91-101
,tor,chi,-53.93571604938273,chi,chi,,1,92-108
,ind,cle,-64.63345654320987,cle,cle,,3,92-95
,mem,dal,-51.35275308641975,dal,mem,1,,112-101
,den,mia,-57.81342035555554,mia,mia,,2,91-108
,no,gs,-70.53016963950617,gs,gs,,5,96-112
,wsh,lac,-61.57114231111111,lac,lac,,3,99-113
,ny,phi,-56.38938445432099,phi,phi,,2,81-97
,por,orl,66.91628987654322,por,orl,4,,104-111
,,,,,,,,
3-19-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,den,hou,-67.01242119506173,hou,hou,,4,108-118
,utah,lal,60.93854033580246,utah,utah,,3,80-73
,min,ny,-56.29531946666666,ny,min,2,,95-92
,no,phx,-50.088974212345676,phx,phx,,1,72-74
,,,,,,,,
3-18-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,gs,-57.65360092839506,gs,gs,,2,95-114
,bos,okc,-60.41727974320988,okc,okc,,3,118-122
,bkn,cle,-67.26731870617284,cle,cle,,4,92-117
,ind,chi,-54.845888158024685,chi,chi,,1,86-103
,orl,dal,-74.53592586666666,dal,dal,,5,102-107
,det,phi,54.04619635555556,det,phi,1,,83-94
,lac,sac,65.13024534320988,lac,lac,,4,116-105
,por,mia,58.013593580246905,por,mia,2,,104-108
,sa,mil,50.24553786666666,sa,sa,,1,114-103
,min,tor,-73.39193555555556,tor,tor,,5,100-105
,wsh,utah,-57.18869342222223,utah,wsh,2,,88-84
,,,,,,,,
3-17-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,cha,lac,-62.228434320987645,lac,lac,,3,92-99
,mem,det,63.247608602469136,mem,det,3,,95-105
,orl,hou,-74.5224158617284,hou,hou,,5,94-107
