3-5-2016,Away,Home,Algo points,Proj winner,Winner,,,Score
,chi,mil,58.34,chi,mil,91-95,58.34,,-140.0384061449832,+140.0384061449832
,dal,okc,-75.21,okc,dal,135-131,-75.21,,+303.3884630899555,-303.3884630899555
,den,utah,-61.47,utah,utah,84-98,,-61.47,+159.5380223202699,-159.5380223202699
,sac,hou,-73.19,hou,hou,111-115,,-73.19,+272.99515106303613,-272.99515106303613
,lac,por,-60.03,por,lac,126-122,-60.03,,+150.18764073054794,-150.18764073054794
,no,lal,67.03,no,no,113-92,,67.03,-203.30603579011225,+203.30603579011225
,tor,min,78.93,tor,tor,113-99,,78.93,-374.60844803037514,+374.60844803037514
,sa,orl,75.12,sa,sa,103-91,,75.12,-301.9292604501609,+301.9292604501609
,phi,wsh,-62.93,wsh,wsh,93-106,,-62.93,+169.7599136768276,-169.7599136768276
,,,,,,,,
3-31-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,det,78.14,atl,det,95-105,78.14,,-357.4565416285453,+357.4565416285453
,ind,bkn,-56.62,bkn,bkn,106-111,,-56.62,+130.5209774089442,-130.5209774089442
,gs,lac,60.8,gs,gs,110-106,,60.8,-155.10204081632654,+155.10204081632654
,sa,mia,64.28,sa,sa,95-81,,64.28,-179.9552071668533,+179.9552071668533
,,,,,,,,
3-30-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,mil,atl,-71.27,atl,atl,88-101,,-71.27,+248.06822137138874,-248.06822137138874
,bos,cha,50.42,bos,bos,116-104,,50.42,-101.69423154497781,+101.69423154497781
,hou,tor,52.59,hou,tor,96-99,52.59,,-110.92596498628984,+110.92596498628984
,lal,phi,-57.61,phi,lal,113-111,-57.61,,+135.90469450342061,-135.90469450342061
,sac,mem,-63.36,mem,mem,83-97,,-63.36,+172.92576419213975,-172.92576419213975
,utah,min,66.71,utah,utah,104-84,,66.71,-200.39050765995788,+200.39050765995788
,phx,por,-67.31,por,por,86-109,,-67.31,+205.9039461609055,-205.9039461609055
,,,,,,,,
3-29-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,lac,bos,64.7,lac,lac,119-106,,64.7,-183.28611898017,+183.28611898017
,lal,bkn,-60.36,bkn,bkn,99-107,,-60.36,+152.2704339051463,-152.2704339051463
,phi,cle,-81.69,cle,cle,86-87,,-81.69,+446.14964500273067,-446.14964500273067
,dal,ind,61.4,dal,ind,99-104,61.4,,-159.06735751295335,+159.06735751295335
,det,mia,-69.2,mia,mia,102-109,,-69.2,+224.6753246753247,-224.6753246753247
,hou,wsh,52.63,hou,hou,99-91,,52.63,-111.10407430863418,+111.10407430863418
,mem,sa,-65.31,sa,sa,89-103,,-65.31,+188.26751225136928,-188.26751225136928
,min,no,-74.88,no,no,88-110,,-74.88,+298.08917197452223,-298.08917197452223
,okc,phx,-58.39,phx,okc,109-97,-58.39,,+140.3268445085316,-140.3268445085316
,,,,,,,,
3-28-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,cha,74.96,atl,cha,100-115,74.96,,-299.36102236421715,+299.36102236421715
,ny,chi,-78.54,chi,chi,80-111,,-78.54,+365.98322460391444,-365.98322460391444
,den,por,-63.46,por,por,114-120,,-63.46,+173.67268746579091,-173.67268746579091
,gs,mil,72.06,gs,gs,108-95,,72.06,-257.9098067287044,+257.9098067287044
,okc,utah,52.79,okc,utah,89-94,52.79,,-111.81952976064392,+111.81952976064392
,,,,,,,,
3-27-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,mia,atl,-61.27,atl,atl,86-99,,-61.27,+158.19777949909636,-158.19777949909636
,bos,ny,68.6,bos,bos,96-92,,68.6,-218.47133757961777,+218.47133757961777
,cle,bkn,68.31,cle,bkn,98-106,68.31,,-215.5569580309246,+215.5569580309246
,cha,wsh,-62.52,wsh,wsh,107-110,,-62.52,+166.80896478121667,-166.80896478121667
,dal,sa,-69.78,sa,sa,76-94,,-69.78,+230.9066843150232,-230.9066843150232
,utah,den,56.12,utah,den,91-107,56.12,,-127.89425706472196,+127.89425706472196
,det,orl,58.01,det,det,111-97,,58.01,-138.15194093831863,+138.15194093831863
,gs,mem,64.1,gs,gs,107-84,,64.1,-178.55153203342616,+178.55153203342616
,min,hou,-78.08,hou,hou,110-120,,-78.08,+356.2043795620437,-356.2043795620437
,lac,phi,84.77,lac,lac,119-98,,84.77,-556.5988181221271,+556.5988181221271
,lal,tor,-73.72,tor,tor,83-94,,-73.72,+280.517503805175,-280.517503805175
,sac,no,-66.98,no,no,88-102,,-66.98,+202.84675953967297,-202.84675953967297
,por,phx,50.98,por,por,87-81,,50.98,-103.99836801305588,+103.99836801305588
,,,,,,,,
3-26-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,ind,mil,-58.78,mil,mil,107-111,,-58.78,+142.600679281902,-142.600679281902
,,,,,,,,
3-25-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,atl,orl,82.96,atl,atl,95-83,,82.96,-486.85446009389653,+486.85446009389653
,mia,bos,-65.38,bos,mia,93-86,-65.38,,+188.85037550548813,-188.85037550548813
,bkn,cha,-53.18,cha,bkn,91-88,-53.18,,+113.5839384878257,-113.5839384878257
,chi,tor,-59.93,tor,chi,116-103,-59.93,,+149.56326428749688,-149.56326428749688
,cle,mem,-60.78,mem,cle,111-89,-60.78,,+154.97195308516064,-154.97195308516064
,phi,den,-67.88,den,phi,99-85,-67.88,,+211.33250311332498,-211.33250311332498
,hou,no,54.32,hou,hou,95-93,,54.32,-118.91418563922942,+118.91418563922942
,ind,wsh,-63.19,wsh,ind,103-101,-63.19,,+171.66530834012494,-171.66530834012494
,lac,ny,80.94,lac,lac,111-80,,80.94,-424.65897166841546,+424.65897166841546
,lal,min,-51.57,min,lal,101-99,-51.57,,+106.48358455502786,-106.48358455502786
,okc,sa,-65.83,sa,sa,91-130,,-65.83,+192.65437518290898,-192.65437518290898
,sac,phx,-66.98,phx,sac,108-99,-66.98,,+202.84675953967297,-202.84675953967297
,por,utah,55.94,por,por,92-89,,55.94,-126.96323195642303,+126.96323195642303
,,,,,,,,
3-24-2015,Away,Home,Algo points,Proj winner,Winner,,,Score
,sa,dal,-57.12,dal,dal,94-101,,-57.12,+133.20895522388057,-133.20895522388057
