Date,Away,Home,Algo proj,Away proj,Home proj,Away odds,Home odds,Diff away,Diff home,Bet,To win,Won
7-14-2012,boston-red-sox,tampa-bay-rays,53.25%,-114,114,142,-163,56,77,$100,$142.0,$0,$100,$142.0,$0
7-14-2012,chicago-white-sox,kansas-city-royals,57.91%,-138,138,-125,106,13,32,$100,$80.0,$0
7-14-2012,cleveland-indians,toronto-blue-jays,-50.64%,103,-103,108,-125,5,22,$100,$108.0,$0
7-14-2012,philadelphia-phillies,colorado-rockies,-50.29%,101,-101,-123,106,24,7,$100,$106.0,$0
7-14-2012,houston-astros,san-francisco-giants,-62.41%,166,-166,198,-232,32,66,$100,$198.0,$0
7-14-2012,los-angeles-angels,new-york-yankees,-53.16%,113,-113,122,-140,9,27,$100,$122.0,$0
7-14-2012,san-diego-padres,los-angeles-dodgers,-58.09%,139,-139,117,-135,22,4,$100,$74.07407407407408,$0
7-14-2012,washington-nationals,miami-marlins,57.68%,-136,136,-116,100,20,36,$100,$86.20689655172414,$0
7-14-2012,pittsburgh-pirates,milwaukee-brewers,52.88%,-112,112,139,-161,51,73,$100,$139.0,$239.0,$100,$139.0,$239.0
7-14-2012,oakland-athletics,minnesota-twins,56.33%,-129,129,100,-117,29,46,$100,$100.0,$200.0
7-14-2012,texas-rangers,seattle-mariners,58.47%,-141,141,-120,102,21,39,$100,$83.33333333333334,$0
,,,,,,,,,,$1200,$-761.0,-63.416666666666664%,$200,$39.0,19.5%
,,,,,,,,,,,,,,,
7-15-2012,arizona-diamondbacks,chicago-cubs,-51.15%,105,-105,-106,-109,11,4
7-15-2012,new-york-mets,atlanta-braves,-51.91%,108,-108,-109,-106,17,2,$100,$94.33962264150944,$194.33962264150944
7-15-2012,detroit-tigers,baltimore-orioles,53.39%,-115,115,-178,154,63,39,$100,$154.0,$0
7-15-2012,boston-red-sox,tampa-bay-rays,51.05%,-104,104,-102,-114,2,18,$100,$98.0392156862745,$198.0392156862745
7-15-2012,chicago-white-sox,kansas-city-royals,57.24%,-134,134,-169,147,35,13,$100,$147.0,$0
7-15-2012,cleveland-indians,toronto-blue-jays,-50.76%,103,-103,127,-147,24,44,$100,$127.0,$0
7-15-2012,philadelphia-phillies,colorado-rockies,53.29%,-114,114,-136,118,22,4,$100,$118.0,$0
7-15-2012,houston-astros,san-francisco-giants,-62.62%,168,-168,198,-232,30,64,$100,$198.0,$0
7-15-2012,los-angeles-angels,new-york-yankees,-53.91%,117,-117,-111,-105,28,12,$100,$95.23809523809524,$0
7-15-2012,san-diego-padres,los-angeles-dodgers,-57.62%,136,-136,144,-166,8,30,$100,$144.0,$244.0
7-15-2012,washington-nationals,miami-marlins,57.35%,-134,134,-142,125,8,9
7-15-2012,pittsburgh-pirates,milwaukee-brewers,53.28%,-114,114,131,-153,45,67,$100,$131.0,$0,$100,$131.0,$0
7-15-2012,oakland-athletics,minnesota-twins,56.87%,-132,132,-104,-112,28,44,$100,$96.15384615384615,$196.15384615384613
7-15-2012,texas-rangers,seattle-mariners,57.81%,-137,137,-185,159,48,22,$100,$159.0,$0
,,,,,,,,,,$1200,$-367.46731551837,-30.622276293197505%,$100,$-100,-100.0%
,,,,,,,,,,,,,,,
7-16-2012,arizona-diamondbacks,cincinnati-reds,-56.84%,132,-132,108,-126,24,6,$100,$79.36507936507937,$0
7-16-2012,baltimore-orioles,minnesota-twins,55.98%,-127,127,114,-131,41,58,$100,$113.99999999999999,$0
7-16-2012,chicago-white-sox,boston-red-sox,53.82%,-117,117,125,-144,42,61,$100,$125.0,$0
7-16-2012,cleveland-indians,tampa-bay-rays,-50.03%,100,-100,106,-125,6,25,$100,$106.0,$206.0
7-16-2012,pittsburgh-pirates,colorado-rockies,57.23%,-134,134,-102,-114,32,48,$100,$98.0392156862745,$0
7-16-2012,los-angeles-angels,detroit-tigers,-50.6%,102,-102,108,-125,6,23,$100,$108.0,$0
7-16-2012,houston-astros,san-diego-padres,-56.43%,130,-130,114,-131,16,1
7-16-2012,seattle-mariners,kansas-city-royals,-50.23%,101,-101,-102,-114,3,13
7-16-2012,philadelphia-phillies,los-angeles-dodgers,-54.46%,120,-120,-166,145,86,65,$100,$145.0,$0,$100,$145.0,$0
7-16-2012,washington-nationals,miami-marlins,57.77%,-137,137,-109,-106,28,43,$100,$91.74311926605503,$0
7-16-2012,toronto-blue-jays,new-york-yankees,-55.5%,125,-125,154,-178,29,53,$100,$154.0,$0
,,,,,,,,,,$900,$-694.0,-77.11111111111111%,$100,$-100,-100.0%
,,,,,,,,,,,,,,,
7-17-2012,arizona-diamondbacks,cincinnati-reds,-54.68%,121,-121,136,-156,15,35,$100,$136.0,$0
7-17-2012,san-francisco-giants,atlanta-braves,-53.17%,114,-114,131,-151,17,37,$100,$131.0,$231.0
7-17-2012,baltimore-orioles,minnesota-twins,55.16%,-123,123,-107,-108,16,31,$100,$93.45794392523364,$0
7-17-2012,chicago-white-sox,boston-red-sox,53.02%,-113,113,163,-188,76,101,$100,$163.0,$263.0,$100,$163.0,$263.0
7-17-2012,miami-marlins,chicago-cubs,-51.66%,107,-107,-119,102,26,9,$100,$102.0,$0
7-17-2012,cleveland-indians,tampa-bay-rays,50.11%,-100,100,135,-156,35,56,$100,$135.0,$0
7-17-2012,pittsburgh-pirates,colorado-rockies,56.91%,-132,132,104,-120,36,52,$100,$104.0,$204.0
7-17-2012,los-angeles-angels,detroit-tigers,-54.29%,119,-119,106,-123,13,4
7-17-2012,houston-astros,san-diego-padres,-54.55%,120,-120,112,-128,8,8
7-17-2012,seattle-mariners,kansas-city-royals,50.01%,-100,100,118,-135,18,35,$100,$118.0,$218.0
7-17-2012,philadelphia-phillies,los-angeles-dodgers,-53.73%,116,-116,-166,145,82,61,$100,$145.0,$0,$100,$145.0,$0
7-17-2012,new-york-mets,washington-nationals,-54.08%,118,-118,106,-123,12,5
7-17-2012,toronto-blue-jays,new-york-yankees,-56.16%,128,-128,206,-243,78,115,$100,$206.0,$0,$100,$206.0,$0
7-17-2012,texas-rangers,oakland-athletics,54.95%,-122,122,-114,-101,8,23,$100,$87.71929824561404,$187.71929824561403
,,,,,,,,,,$1100,$3.719298245614027,0.33811802232854793%,$300,$-37.0,-12.333333333333334%
,,,,,,,,,,,,,,,
7-18-2012,arizona-diamondbacks,cincinnati-reds,-55.75%,126,-126,125,-142,1,16
7-18-2012,san-francisco-giants,atlanta-braves,-51.9%,108,-108,102,-119,6,11
7-18-2012,baltimore-orioles,minnesota-twins,54.46%,-120,120,141,-161,61,81,$100,$141.0,$241.0,$100,$141.0,$241.0
7-18-2012,chicago-white-sox,boston-red-sox,54.47%,-120,120,145,-163,65,83,$100,$145.0,$0,$100,$145.0,$0
7-18-2012,miami-marlins,chicago-cubs,-50.34%,101,-101,-119,102,20,3,$100,$102.0,$202.0
7-18-2012,cleveland-indians,tampa-bay-rays,-50.03%,100,-100,-105,-111,5,11
7-18-2012,pittsburgh-pirates,colorado-rockies,57.4%,-135,135,-125,108,10,27,$100,$80.0,$180.0
7-18-2012,los-angeles-angels,detroit-tigers,50.68%,-103,103,-111,-104,8,7
7-18-2012,houston-astros,san-diego-padres,-55.0%,122,-122,114,-131,8,9
7-18-2012,seattle-mariners,kansas-city-royals,52.79%,-112,112,118,-135,30,47,$100,$118.0,$0
7-18-2012,philadelphia-phillies,los-angeles-dodgers,-53.01%,113,-113,102,-119,11,6
7-18-2012,new-york-mets,washington-nationals,-54.64%,120,-120,152,-175,32,55,$100,$152.0,$0
7-18-2012,toronto-blue-jays,new-york-yankees,-56.79%,131,-131,147,-169,16,38,$100,$147.0,$0
7-18-2012,texas-rangers,oakland-athletics,55.54%,-125,125,123,-142,48,67,$100,$123.0,$0,$100,$123.0,$0
,,,,,,,,,,$800,$-177.0,-22.125%,$300,$-59.0,-19.666666666666664%
,,,,,,,,,,,,,,,
7-19-2012,arizona-diamondbacks,cincinnati-reds,-54.61%,120,-120,127,-147,7,27,$100,$127.0,$0
7-19-2012,san-francisco-giants,atlanta-braves,-50.34%,101,-101,102,-119,1,18,$100,$102.0,$0
7-19-2012,baltimore-orioles,minnesota-twins,55.16%,-123,123,-112,-104,11,27,$100,$89.28571428571428,$189.28571428571428
7-19-2012,chicago-white-sox,boston-red-sox,53.02%,-113,113,127,-149,40,62,$100,$127.0,$0
7-19-2012,miami-marlins,chicago-cubs,-50.57%,102,-102,-123,106,25,8,$100,$106.0,$206.0
7-19-2012,cleveland-indians,tampa-bay-rays,52.51%,-111,111,167,-192,78,103,$100,$167.0,$0,$100,$167.0,$0
7-19-2012,los-angeles-angels,detroit-tigers,-53.85%,117,-117,129,-149,12,32,$100,$129.0,$0
7-19-2012,houston-astros,san-diego-padres,-56.18%,128,-128,137,-158,9,30,$100,$137.0,$0
7-19-2012,seattle-mariners,kansas-city-royals,50.01%,-100,100,-131,116,31,16,$100,$115.99999999999999,$0
7-19-2012,new-york-mets,washington-nationals,-55.75%,126,-126,119,-136,7,10
7-19-2012,new-york-yankees,oakland-athletics,55.83%,-126,126,-119,100,7,26,$100,$84.03361344537815,$0
,,,,,,,,,,$1000,$-604.7142857142858,-60.471428571428575%,$100,$-100,-100.0%
,,,,,,,,,,,,,,,
7-20-2012,houston-astros,arizona-diamondbacks,-59.05%,144,-144,168,-196,24,52,$100,$168.0,$0
7-20-2012,atlanta-braves,washington-nationals,-52.9%,112,-112,129,-149,17,37,$100,$129.0,$229.0
7-20-2012,baltimore-orioles,cleveland-indians,-52.04%,109,-109,114,-131,5,22,$100,$113.99999999999999,$214.0
7-20-2012,toronto-blue-jays,boston-red-sox,-54.9%,122,-122,162,-188,40,66,$100,$162.0,$262.0
7-20-2012,chicago-white-sox,detroit-tigers,50.14%,-101,101,148,-169,49,70,$100,$148.0,$0,$100,$148.0,$0
7-20-2012,milwaukee-brewers,cincinnati-reds,-55.39%,124,-124,104,-121,20,3,$100,$82.64462809917356,$182.64462809917356
7-20-2012,colorado-rockies,san-diego-padres,-52.78%,112,-112,-108,-107,20,5,$100,$93.45794392523364,$193.45794392523362
7-20-2012,minnesota-twins,kansas-city-royals,-53.18%,114,-114,131,-151,17,37,$100,$131.0,$231.0
7-20-2012,texas-rangers,los-angeles-angels,53.64%,-116,116,127,-147,43,63,$100,$127.0,$0
7-20-2012,los-angeles-dodgers,new-york-mets,-54.31%,119,-119,135,-156,16,37,$100,$135.0,$235.0
7-20-2012,miami-marlins,pittsburgh-pirates,-56.36%,129,-129,-105,-111,34,18,$100,$90.09009009009009,$190.0900900900901
7-20-2012,new-york-yankees,oakland-athletics,55.47%,-125,125,-131,114,6,11
7-20-2012,san-francisco-giants,philadelphia-phillies,54.5%,-120,120,108,-126,28,46,$100,$108.0,$208.0
7-20-2012,seattle-mariners,tampa-bay-rays,-51.18%,105,-105,162,-188,57,83,$100,$162.0,$0,$100,$162.0,$0
,,,,,,,,,,$1300,$645.1926621144974,49.630204778038255%,$200,$-200,-100.0%
,,,,,,,,,,,,,,,
